,Jm1,Jm2,T,Tx,Ty,Tz,h,ju1,ju2,layer,n,p,px,py,pz,up,x*,x1
59,,,,,,,,,,6.0000E+01 6.9990E+01 1.0154E-02 1.4404E-02 1.1316E-02 1.3953E-02 1.7191E-02 1.8427E-02 1.7146E-02 1.9601E-02 2.7770E-02 1.8592E-02 1.5765E-02 1.8572E-02 6.0717E-03 1.4602E-02 1.1842E-02 1.9609E-02 2.1607E-02 2.9809E-02 2.4980E-02 3.7897E-02,,,,,,,,
60,,,,,,,,,,6.1000E+01 7.1170E+01 2.0469E-02 1.8298E-02 2.2313E-02 1.8897E-02 1.9071E-02 1.8660E-02 1.7429E-02 1.9987E-02 1.6735E-02 8.6039E-03 1.3810E-02 1.7053E-02 1.9871E-02 1.0761E-02 1.3873E-02 1.5713E-02 2.1379E-02 1.2618E-02 1.5914E-02 1.7784E-02,,,,,,,,
61,,,,,,,,,,6.2000E+01 7.2340E+01 1.3011E-02 1.1334E-02 1.3836E-02 1.4477E-02 1.4087E-02 1.7744E-02 1.6794E-02 1.3313E-02 1.3947E-02 8.9047E-03 1.8422E-02 1.0272E-02 1.3615E-02 1.3415E-02 1.3879E-02 1.6404E-02 2.0901E-02 1.9485E-02 2.1661E-02 1.6004E-02,,,,,,,,
62,,,,,,,,,,6.3000E+01 7.3520E+01 1.2595E-02 1.8927E-02 7.1663E-03 1.6138E-02 1.2984E-02 1.1257E-02 1.4738E-02 2.0738E-02 1.6904E-02 1.7773E-02 1.8020E-02 1.5235E-02 1.0833E-02 2.0955E-02 1.3444E-02 1.6298E-02 9.1360E-03 2.0156E-02 1.2999E-02 2.1552E-02,,,,,,,,
63,,,,,,,,,,6.4000E+01 7.4690E+01 9.9501E-03 1.6314E-02 1.3001E-02 2.1535E-02 1.4940E-02 1.1435E-02 1.2893E-02 1.1659E-02 2.0830E-02 1.6766E-02 1.5761E-02 1.8577E-02 7.6967E-03 9.3526E-03 1.7583E-02 2.5849E-02 1.9521E-02 2.0924E-02 2.4719E-02 2.3586E-02,,,,,,,,
0,,,,,,,,,,1.0000E+00 5.8810E-01 4.0106E-03 3.5785E-03 5.5048E-03 9.0173E-03 4.9986E-03 8.4427E-03 8.2407E-03 9.0846E-03 6.1600E-03 1.1538E-02 1.1718E-02 7.9825E-03 6.1437E-03 8.7789E-03 8.9611E-03 7.2318E-03 6.7116E-03 9.7709E-03 8.1253E-03 6.6041E-03,,,,,,,,
1,,,,,,,,,,2.0000E+00 1.7640E+00 3.6592E-03 8.0611E-03 6.9153E-03 5.9847E-03 6.9020E-03 3.7821E-03 1.0161E-02 7.8076E-03 1.0200E-02 9.2156E-03 7.5180E-03 9.6225E-03 7.4074E-03 7.6726E-03 6.6877E-03 9.5701E-03 6.5630E-03 7.1856E-03 6.5476E-03 5.2606E-03,,,,,,,,
2,,,,,,,,,,3.0000E+00 2.9410E+00 7.0323E-03 9.3310E-03 7.1278E-03 1.0784E-02 9.4595E-03 1.1766E-02 7.5761E-03 5.3231E-03 4.1664E-03 6.9894E-03 5.8394E-03 6.2374E-03 5.7508E-03 8.5254E-03 6.5550E-03 7.7545E-03 5.5471E-03 5.8903E-03 4.8514E-03 6.5272E-03,,,,,,,,
3,,,,,,,,,,4.0000E+00 4.1170E+00 3.7814E-03 7.2982E-03 8.2845E-03 9.9658E-03 6.7957E-03 7.1702E-03 1.2067E-02 7.9658E-03 5.2580E-03 8.3523E-03 1.1966E-02 8.0616E-03 9.6543E-03 6.4694E-03 7.9391E-03 5.5595E-03 7.4791E-03 7.8240E-03 5.7175E-03 6.9251E-03,,,,,,,,
4,,,,,,,,,,5.0000E+00 5.2930E+00 1.0055E-02 2.5623E-03 5.7356E-03 6.7608E-03 3.2776E-03 7.5256E-03 1.0102E-02 5.9054E-03 7.0322E-03 5.2323E-03 7.1775E-03 6.0068E-03 9.4906E-03 5.2985E-03 8.0912E-03 6.0622E-03 9.0910E-03 1.0983E-02 8.7364E-03 5.4008E-03,,,,,,,,
5,,,,,,,,,,6.0000E+00 6.4700E+00 6.0720E-03 6.1753E-03 7.4085E-03 6.7863E-03 4.8226E-03 8.4554E-03 6.9363E-03 3.5320E-03 6.8385E-03 1.0596E-02 6.8203E-03 6.0284E-03 7.2167E-03 7.2310E-03 9.2119E-03 1.1741E-02 7.2042E-03 1.1347E-02 7.1532E-03 8.5244E-03,,,,,,,,
